"project","year","ship","trip","haul","time1","time2","lat.l","lon.l","lat.v","lon.v","latN1","lonW1","latN2","lonW2","depth1","depth2","stationType","val","speed","doors","dist","sweptarea","bottomT","gearID","stratum1","stratum2","fixpos","id","id.2","idp","depth","Stratum2","npos","wpos","div","id_str","stratum"
"GHLW",2002,"PA",6,21,"2002-09-20","2002-09-20 21:19:00",63.2670000076294,56.0939999961853,63.2589999961853,56.0680000019074,63.4450000127157,56.1566666603088,63.4316666603088,56.1133333365122,1223,1235,"B","A",2.79999995231628,134,2.61351992428038,0.0761841057927729,3.5,"ALF3",NA,NA,"GHLW2621","2002_21","2002_6_PA_21","2002_GHLW",1229,14,63.4383333365123,56.1349999984105,"1D","1D_14",29
"GHLW",2002,"PA",6,22,"2002-09-20","2002-09-20 23:43:00",63.2720000076294,55.5540000152588,63.2639999961853,55.5429999923706,63.453333346049,55.9233333587647,63.4399999936422,55.9049999872843,1190,1199,"B","A",2.79999995231628,139,1.73938020500432,0.051937892921429,3.40000009536743,"ALF3",NA,NA,"GHLW2622","2002_22","2002_6_PA_22","2002_GHLW",1194.5,12,63.4466666698456,55.9141666730245,"1D","1D_12",28
"GHLW",2002,"PA",6,23,"2002-09-21","2002-09-21 04:54:00",63.4929999923706,55.4420000076294,63.5059999847412,55.4420000076294,63.821666653951,55.7366666793823,63.843333307902,55.7366666793823,1126,1144,"B","A",2.59999990463257,126,2.40769042326276,0.0674490395172829,3.5,"ALF3",NA,NA,"GHLW2623","2002_23","2002_6_PA_23","2002_GHLW",1135,12,63.8324999809265,55.7366666793823,"1D","1D_12",28
"GHLW",2002,"PA",6,24,"2002-09-21","2002-09-21 16:19:00",63.4140000152588,55.1810000038147,63.4229999923706,55.155,63.6900000254313,55.3016666730245,63.7049999872843,55.2583333333333,1257,1276,"B","A",3.09999990463257,140,2.70766955979836,0.0812355021330704,3.5,"ALF3",NA,NA,"GHLW2624","2002_24","2002_6_PA_24","2002_GHLW",1266.5,14,63.6975000063578,55.2800000031789,"1D","1D_14",29
"GHLW",2002,"PA",6,25,"2002-09-21","2002-09-21 19:13:00",63.3270000076294,55.07,63.3189999961853,55.0440000009537,63.5450000127157,55.1166666666667,63.5316666603088,55.0733333349228,1134,1149,"B","A",2.79999995231628,136,2.6073284221407,0.0767441047772894,3.5,"ALF3",NA,NA,"GHLW2625","2002_25","2002_6_PA_25","2002_GHLW",1141.5,12,63.5383333365123,55.0950000007948,"1D","1D_12",28
"GHLW",2002,"PA",6,26,"2002-09-21","2002-09-21 21:35:00",63.2570000076294,54.4320000076294,63.2460000038147,54.4109999847412,63.428333346049,54.7200000127157,63.4100000063578,54.6849999745687,1136,1153,"B","A",2.90000009536743,114,2.67931189214503,0.0704926958823357,3.5,"ALF3",NA,NA,"GHLW2626","2002_26","2002_6_PA_26","2002_GHLW",1144.5,12,63.4191666762034,54.7024999936422,"1D","1D_12",28
"GHLW",2002,"PA",6,27,"2002-09-22","2002-09-22 01:03:00",63.1729999923706,54.5220000076294,63.1729999923706,54.4909999847412,63.2883333206177,54.8700000127157,63.2883333206177,54.818333307902,1279,1290,"B","A",2.79999995231628,138,2.58065410992456,0.076691878838738,3.40000009536743,"ALF3",NA,NA,"GHLW2627","2002_27","2002_6_PA_27","2002_GHLW",1284.5,14,63.2883333206177,54.8441666603089,"1D","1D_14",29
"GHLW",2002,"PA",6,28,"2002-09-22","2002-09-22 04:55:00",63.0659999990463,54.0359999990463,63.0619999980927,54.0069999998808,63.1099999984105,54.0599999984105,63.1033333301544,54.011666666468,1412,1426,"B","A",2.79999995231628,142,2.53999203592933,0.0769261988001557,3.40000009536743,"ALF3",NA,NA,"GHLW2628","2002_28","2002_6_PA_28","2002_GHLW",1419,16,63.1066666642825,54.0358333324393,"1D","1D_16",30
"GHLW",2002,"PA",6,29,"2002-09-22","2002-09-22 09:11:00",63.1219999980927,54.135,63.1139999961853,54.1089999961853,63.2033333301544,54.225,63.1899999936422,54.1816666603088,1257,1276,"B","A",2.79999995231628,133,2.62872810630746,0.0762541449077669,3.5,"ALF3",NA,NA,"GHLW2629","2002_29","2002_6_PA_29","2002_GHLW",1266.5,14,63.1966666618983,54.2033333301544,"1D","1D_14",29
"GHLW",2002,"PA",6,30,"2002-09-22","2002-09-22 14:12:00",63.0619999980927,53.3429999923706,63.0490000009537,53.3320000076294,63.1033333301544,53.571666653951,63.0816666682561,53.553333346049,1262,1287,"B","A",2.79999995231628,134,2.57816831090271,0.0751536062628141,3.5,"ALF3",NA,NA,"GHLW2630","2002_30","2002_6_PA_30","2002_GHLW",1274.5,14,63.0924999992052,53.5625,"1D","1D_14",29
