stratification,stratum,name,lat,lon,order
ghl_strata,1,GreN400,66.28085152985578,-31.27916666666666,627
ghl_strata,1,GreN400,66.2875,-31.272518196522427,628
ghl_strata,1,GreN400,66.2891848631891,-31.270833333333318,629
ghl_strata,1,GreN400,66.29583333333333,-31.26530300482116,630
ghl_strata,1,GreN400,66.29863633815451,-31.26249999999999,631
ghl_strata,1,GreN400,66.30416666666666,-31.256969671487827,632
ghl_strata,1,GreN400,66.3125,-31.258333333333315,633
ghl_strata,1,GreN400,66.31666666666666,-31.25416666666666,634
ghl_strata,1,GreN400,66.32083333333334,-31.25138888888888,635
ghl_strata,1,GreN400,66.3236363381545,-31.245833333333326,636
ghl_strata,1,GreN400,66.32916666666667,-31.241099193780588,637
ghl_strata,1,GreN400,66.33749999999999,-31.240303004821158,638
ghl_strata,1,GreN400,66.34583333333333,-31.2391848631891,639
