"model","Z","a","C","Q","U","R","Params","AICbp","delta","Hipotheses"
"run_173.rds",3,1,"NAO",6,3,3,17,527.735310735734,340.303190649144,6
"run_156.rds",3,2,"Catch",1,1,4,13,531.193297211679,343.761177125089,6
"run_72.rds",4,1,"Catch",10,4,4,25,563.730833739447,376.298713652857,9
"run_155.rds",3,2,"Catch",1,1,4,13,567.416259384403,379.984139297813,6
"run_252.rds",4,0,"NAO",4,1,3,13,570.705058163062,383.272938076472,9
"run_9.rds",4,0,"No covariates",10,4,3,21,611.754862950758,424.322742864168,9
"run_180.rds",4,0,"NAO",10,4,3,22,643.863986884107,456.431866797517,9
"run_234.rds",4,0,"NAO",10,1,3,19,657.39300304124,469.96088295465,9
"run_36.rds",4,0,"No covariates",10,1,3,18,750.513326589725,563.081206503135,9
"run_179.rds",4,0,"NAO",10,4,3,22,754.761901170804,567.329781084214,9
"run_233.rds",4,0,"NAO",10,1,3,19,922.363288711987,734.931168625397,9
